time (s), x (m), y (m), z (m), rho
0,-600,-700,-1,5.4902e-44
5.1107,-599.99,-699.96,-1.0001,5.6229e-44
10.221,-599.95,-699.83,-1.0004,6.038e-44
15.332,-599.89,-699.62,-1.0009,6.7938e-44
20.443,-599.8,-699.33,-1.0016,8.004e-44
25.553,-599.69,-698.96,-1.0024,9.8668e-44
30.664,-599.56,-698.51,-1.0035,1.2717e-43
35.775,-599.4,-697.99,-1.0047,1.7124e-43
40.885,-599.22,-697.38,-1.0061,2.4071e-43
45.996,-599.01,-696.7,-1.0077,3.5292e-43
51.107,-598.79,-695.94,-1.0095,5.3922e-43
56.217,-598.54,-695.11,-1.0114,8.5781e-43
61.328,-598.26,-694.21,-1.0136,4.0892e-42
66.439,-597.97,-693.24,-1.0158,7.0096e-42
71.549,-597.65,-692.19,-1.0183,1.2473e-41
76.66,-597.31,-691.08,-1.0209,2.3015e-41
81.771,-596.95,-689.89,-1.0237,4.3998e-41
86.881,-596.57,-688.64,-1.0266,8.7055e-41
91.992,-596.17,-687.32,-1.0296,1.7809e-40
97.103,-595.75,-685.94,-1.0329,3.7629e-40
102.21,-595.31,-684.49,-1.0362,8.2035e-40
107.32,-594.84,-682.98,-1.0398,1.8433e-39
112.43,-594.36,-681.41,-1.0434,4.2646e-39
117.55,-593.86,-679.77,-1.0472,1.0147e-38
122.66,-593.33,-678.08,-1.0511,2.4805e-38
127.77,-592.79,-676.32,-1.0552,6.2229e-38
132.88,-592.23,-674.51,-1.0594,1.6004e-37
137.99,-591.65,-672.65,-1.0638,4.2145e-37
143.1,-591.05,-670.72,-1.0682,1.1353e-36
148.21,-590.44,-668.74,-1.0728,3.1245e-36
153.32,-589.8,-666.71,-1.0775,8.7764e-36
158.43,-589.15,-664.62,-1.0823,2.5132e-35
163.54,-588.48,-662.49,-1.0873,7.3288e-35
168.65,-587.79,-660.3,-1.0923,2.1739e-34
173.76,-587.09,-658.06,-1.0975,6.5522e-34
178.87,-586.37,-655.78,-1.1027,2.0044e-33
183.98,-585.63,-653.45,-1.1081,1.5171e-32
189.09,-584.88,-651.07,-1.1136,4.7262e-32
194.21,-584.11,-648.65,-1.1192,1.4892e-31
199.32,-583.32,-646.18,-1.1248,4.7413e-31
204.43,-582.52,-643.67,-1.1306,1.5235e-30
209.54,-581.71,-641.12,-1.1365,4.936e-30
214.65,-580.87,-638.52,-1.1424,1.6106e-29
219.76,-580.03,-635.89,-1.1485,5.2876e-29
224.87,-579.17,-633.22,-1.1546,1.7447e-28
229.98,-578.29,-630.51,-1.1608,5.7803e-28
235.09,-577.4,-627.76,-1.1671,1.9209e-27
240.2,-576.5,-624.98,-1.1734,6.3963e-27
245.31,-575.58,-622.17,-1.1798,2.1321e-26
250.42,-574.65,-619.32,-1.1863,7.1079e-26
255.53,-573.71,-616.43,-1.1929,2.3675e-25
260.64,-572.75,-613.52,-1.1995,7.8716e-25
265.75,-571.78,-610.58,-1.2062,2.61e-24
270.86,-570.8,-607.61,-1.213,8.623e-24
275.98,-569.8,-604.61,-1.2198,2.836e-23
281.09,-568.8,-601.58,-1.2266,9.2771e-23
286.2,-567.78,-598.53,-1.2335,3.0159e-22
291.31,-566.75,-595.45,-1.2405,9.735e-22
296.42,-565.71,-592.35,-1.2475,3.1177e-21
301.53,-564.66,-589.23,-1.2546,1.8837e-20
306.64,-563.6,-586.08,-1.2616,5.86e-20
311.75,-562.52,-582.91,-1.2688,1.8043e-19
316.86,-561.44,-579.73,-1.2759,5.4948e-19
321.97,-560.35,-576.52,-1.2831,1.6539e-18
327.08,-559.25,-573.3,-1.2904,4.9165e-18
332.19,-558.13,-570.07,-1.2976,1.4426e-17
337.3,-557.01,-566.81,-1.3049,4.1752e-17
342.41,-555.88,-563.55,-1.3122,1.1912e-16
347.52,-554.74,-560.27,-1.3195,3.3483e-16
352.64,-553.6,-556.97,-1.3268,9.267e-16
357.75,-552.44,-553.67,-1.3342,2.524e-15
362.86,-551.28,-550.36,-1.3415,6.7616e-15
367.97,-550.1,-547.04,-1.3489,1.7808e-14
373.08,-548.92,-543.71,-1.3563,4.6085e-14
378.19,-547.74,-540.37,-1.3637,1.1714e-13
383.3,-546.54,-537.03,-1.371,2.9233e-13
388.41,-545.34,-533.69,-1.3784,7.1595e-13
393.52,-544.14,-530.34,-1.3858,1.7202e-12
398.63,-542.92,-526.99,-1.3931,4.0532e-12
403.74,-541.7,-523.63,-1.4005,9.363e-12
408.85,-540.48,-520.28,-1.4078,2.1199e-11
413.96,-539.25,-516.93,-1.4151,4.7027e-11
419.07,-538.01,-513.58,-1.4224,1.022e-10
424.18,-536.77,-510.23,-1.4297,3.0603e-10
429.3,-535.52,-506.89,-1.437,6.3052e-10
434.41,-534.27,-503.55,-1.4442,1.2719e-09
439.52,-533.02,-500.22,-1.4514,2.5118e-09
444.63,-531.76,-496.89,-1.4586,4.8557e-09
449.74,-530.49,-493.58,-1.4657,9.1882e-09
454.85,-529.23,-490.27,-1.4728,1.7018e-08
459.96,-527.96,-486.97,-1.4799,3.0851e-08
465.07,-526.68,-483.69,-1.4869,5.4746e-08
470.18,-525.41,-480.42,-1.4939,9.5095e-08
475.29,-524.13,-477.16,-1.5008,1.6171e-07
480.4,-522.84,-473.91,-1.5076,2.6925e-07
485.51,-521.56,-470.69,-1.5145,4.3899e-07
490.62,-520.27,-467.47,-1.5212,7.0102e-07
495.73,-518.99,-464.28,-1.5279,1.0967e-06
500.84,-517.7,-461.11,-1.5346,1.6812e-06
505.96,-516.41,-457.95,-1.5411,2.5263e-06
511.07,-515.12,-454.82,-1.5477,3.7223e-06
516.18,-513.82,-451.71,-1.5541,5.3797e-06
521.29,-512.53,-448.62,-1.5605,7.6299e-06
526.4,-511.24,-445.56,-1.5667,1.0624e-05
531.51,-509.94,-442.52,-1.573,1.453e-05
536.62,-508.65,-439.51,-1.5791,1.9529e-05
541.73,-507.36,-436.53,-1.5851,2.8135e-05
546.84,-506.07,-433.57,-1.5911,3.636e-05
551.95,-504.78,-430.65,-1.597,4.6289e-05
557.06,-503.49,-427.75,-1.6028,5.8089e-05
562.17,-502.2,-424.89,-1.6085,7.191e-05
567.28,-500.91,-422.06,-1.6141,8.7878e-05
572.39,-499.63,-419.26,-1.6196,0.00010609
577.5,-498.35,-416.5,-1.625,0.00012662
582.62,-497.07,-413.78,-1.6302,0.0001495
587.73,-495.79,-411.09,-1.6354,0.00017473
592.84,-494.52,-408.44,-1.6405,0.00020227
597.95,-493.25,-405.83,-1.6455,0.00023207
603.06,-491.98,-403.26,-1.6503,0.000264
608.17,-490.72,-400.74,-1.655,0.00029791
613.28,-489.46,-398.25,-1.6596,0.00033358
618.39,-488.19,-395.81,-1.6641,0.00037078
623.5,-486.88,-393.4,-1.6688,0.00040936
628.61,-485.51,-391.01,-1.6735,0.0004491
633.72,-484.09,-388.66,-1.6784,0.00048967
638.83,-482.6,-386.33,-1.6833,0.00053071
643.94,-481.06,-384.02,-1.6884,0.00057175
649.05,-479.46,-381.74,-1.6934,0.00061228
654.16,-477.81,-379.48,-1.6985,0.00065169
659.28,-476.1,-377.23,-1.7036,0.00068932
664.39,-474.34,-375.01,-1.7086,0.00073373
669.5,-472.53,-372.8,-1.7136,0.00076256
674.61,-470.66,-370.61,-1.7185,0.00078693
679.72,-468.75,-368.43,-1.7233,0.00080628
684.83,-466.79,-366.27,-1.728,0.00082021
689.94,-464.77,-364.11,-1.7326,0.00082847
695.05,-462.71,-361.97,-1.7369,0.00083105
700.16,-460.6,-359.83,-1.7411,0.00082817
705.27,-458.45,-357.7,-1.7451,0.00082031
710.38,-456.25,-355.58,-1.7488,0.00080819
715.49,-454.01,-353.46,-1.7523,0.00079271
720.6,-451.72,-351.35,-1.7554,0.00077495
725.71,-449.39,-349.23,-1.7583,0.00075609
730.82,-447.02,-347.12,-1.7608,0.00073731
735.93,-444.6,-345.01,-1.763,0.00071974
741.05,-442.15,-342.89,-1.7648,0.00070436
746.16,-439.66,-340.76,-1.7661,0.00069195
751.27,-437.13,-338.64,-1.7671,0.00068306
756.38,-434.56,-336.5,-1.7676,0.00067794
761.49,-431.95,-334.36,-1.7676,0.00067659
766.6,-429.31,-332.21,-1.7671,0.00067875
771.71,-426.64,-330.04,-1.7661,0.00068398
776.82,-423.93,-327.86,-1.7646,0.0006917
781.93,-421.19,-325.67,-1.7624,0.00069482
787.04,-418.41,-323.47,-1.7597,0.00070456
792.15,-415.6,-321.24,-1.7564,0.00071467
797.26,-412.77,-319,-1.7524,0.00072495
802.37,-409.9,-316.74,-1.7478,0.00073531
807.48,-407,-314.46,-1.7425,0.00074582
812.59,-404.08,-312.15,-1.7364,0.00075661
817.71,-401.13,-309.83,-1.7296,0.0007678
822.82,-398.15,-307.47,-1.7221,0.00077945
827.93,-395.12,-305.08,-1.7135,0.0007917
833.04,-391.96,-302.65,-1.7035,0.00080473
838.15,-388.68,-300.17,-1.692,0.00081805
843.26,-385.3,-297.65,-1.6793,0.00083081
848.37,-381.82,-295.09,-1.6653,0.00084193
853.48,-378.24,-292.5,-1.6501,0.00085032
858.59,-374.57,-289.88,-1.6338,0.00085515
863.7,-370.82,-287.22,-1.6166,0.00085621
868.81,-367,-284.55,-1.5984,0.00085412
873.92,-363.11,-281.85,-1.5794,0.00085046
879.03,-359.16,-279.13,-1.5596,0.00084762
884.14,-355.15,-276.4,-1.5392,0.00084836
889.25,-351.1,-273.65,-1.5181,0.00085529
894.37,-347,-270.9,-1.4965,0.00087024
899.48,-342.87,-268.14,-1.4745,0.00089378
904.59,-338.71,-265.37,-1.4521,0.00088563
909.7,-334.53,-262.61,-1.4295,0.0009204
914.81,-330.34,-259.85,-1.4066,0.00095714
919.92,-326.13,-257.09,-1.3837,0.00099328
925.03,-321.93,-254.35,-1.3607,0.0010269
930.14,-317.74,-251.62,-1.3377,0.001057
935.25,-313.55,-248.9,-1.3148,0.0010838
940.36,-309.39,-246.21,-1.2922,0.0011083
945.47,-305.25,-243.53,-1.2698,0.0011327
950.58,-301.14,-240.88,-1.2478,0.0011596
955.69,-297.08,-238.26,-1.2263,0.001192
960.8,-293.06,-235.67,-1.2052,0.0012325
965.91,-289.09,-233.12,-1.1848,0.0012835
971.03,-285.19,-230.6,-1.165,0.001346
976.14,-281.34,-228.13,-1.146,0.0014199
981.25,-277.58,-225.7,-1.1279,0.0015036
986.36,-273.89,-223.32,-1.1106,0.0015942
991.47,-270.29,-220.98,-1.0944,0.0016879
996.58,-266.78,-218.7,-1.0793,0.0017801
1001.7,-263.38,-216.48,-1.0653,0.0018666
1006.8,-260.08,-214.32,-1.0526,0.0019437
1011.9,-256.89,-212.22,-1.0411,0.0020088
1017,-253.82,-210.19,-1.0311,0.0020604
1022.1,-250.88,-208.23,-1.0226,0.0020565
1027.2,-248.08,-206.34,-1.0157,0.0020751
1032.4,-245.41,-204.53,-1.0112,0.0020841
1037.5,-242.87,-202.8,-1.0088,0.0020854
1042.6,-240.46,-201.15,-1.0086,0.0020809
1047.7,-238.16,-199.57,-1.0104,0.0020721
1052.8,-235.97,-198.06,-1.0139,0.0020606
1057.9,-233.89,-196.61,-1.0191,0.0020476
1063,-231.91,-195.23,-1.0258,0.002034
1068.1,-230.02,-193.9,-1.0338,0.0020208
1073.2,-228.21,-192.63,-1.043,0.0020085
1078.3,-226.49,-191.41,-1.0532,0.0019977
1083.5,-224.83,-190.24,-1.0644,0.0019886
1088.6,-223.24,-189.11,-1.0762,0.0019816
1093.7,-221.71,-188.02,-1.0886,0.001977
1098.8,-220.23,-186.97,-1.1014,0.0019747
1103.9,-218.79,-185.95,-1.1145,0.0019751
1109,-217.4,-184.97,-1.1277,0.0019782
1114.1,-216.04,-184.01,-1.1409,0.001984
1119.2,-214.7,-183.07,-1.1538,0.0019928
1124.3,-213.38,-182.15,-1.1664,0.0020047
1129.5,-212.08,-181.25,-1.1785,0.0020198
1134.6,-210.78,-180.36,-1.1899,0.0020383
1139.7,-209.48,-179.47,-1.2005,0.0020604
1144.8,-208.18,-178.6,-1.2101,0.0020469
1149.9,-206.86,-177.72,-1.2186,0.0020801
1155,-205.53,-176.85,-1.2259,0.0021177
1160.1,-204.16,-175.96,-1.2317,0.00216
