,Id,Source,DateTime,PayLoad,id,description,delay,max,min,precision,noisebias,noisesigma,Time,Lat,Lon,Depth,sun,Bt,Bij,Bl,wind_x,wind_y,temperature,U,V,DOX,NOX,ALG
0,NOX,SimSenN,2008-08-23 00:00:00,"{'id': <SensorEventId.NOX: 'NOX'>, 'description': 'Nitrogen sensor (mg/L)', 'delay': 6, 'max': 0.5, 'min': 0.0, 'precision': 0.1, 'noisebias': 0.01, 'noisesigma': 0.001}",SensorEventId.NOX,Nitrogen sensor (mg/L),6,0.5,0.0,0.1,0.01,0.001,,,,,,,,,,,,,,,,
0,DOX,SimSenO,2008-08-23 00:00:00,"{'id': <SensorEventId.DOX: 'DOX'>, 'description': 'Oxigen sensor (mg/L)', 'delay': 5, 'max': 30.0, 'min': 0.0, 'precision': 1.0, 'noisebias': 1.0, 'noisesigma': 0.1}",SensorEventId.DOX,Oxigen sensor (mg/L),5,30.0,0.0,1.0,1.0,0.1,,,,,,,,,,,,,,,,
0,ALG,SimSenA,2008-08-23 00:00:00,"{'id': <SensorEventId.ALG: 'ALG'>, 'description': 'Algae detector (mg/L)', 'delay': 7, 'max': 15.0, 'min': 0.0, 'precision': 1.0, 'noisebias': 1.0, 'noisesigma': 0.1}",SensorEventId.ALG,Algae detector (mg/L),7,15.0,0.0,1.0,1.0,0.1,,,,,,,,,,,,,,,,
0,temperature,SimSenT,2008-08-23 00:00:00,"{'id': <SensorEventId.WTE: 'temperature'>, 'description': 'Water temperature sensor (ºC)', 'delay': 4, 'max': 30, 'min': 0, 'precision': 0.1, 'noisebias': 0.01, 'noisesigma': 0.1}",SensorEventId.WTE,Water temperature sensor (ºC),4,30,0,0.1,0.01,0.1,,,,,,,,,,,,,,,,
0,U,SimSenU,2008-08-23 00:00:00,"{'id': <SensorEventId.WFU: 'U'>, 'description': 'East water flow (m/s)', 'delay': 4, 'max': 0.1, 'min': -0.1, 'precision': 0.01, 'noisebias': 0.001, 'noisesigma': 0.001}",SensorEventId.WFU,East water flow (m/s),4,0.1,-0.1,0.01,0.001,0.001,,,,,,,,,,,,,,,,
0,W,SimSenV,2008-08-23 00:00:00,"{'id': <SensorEventId.WFV: 'W'>, 'description': 'Nord water flow (m/s)', 'delay': 4, 'max': 0.1, 'min': -0.1, 'precision': 0.01, 'noisebias': 0.001, 'noisesigma': 0.001}",SensorEventId.WFV,Nord water flow (m/s),4,0.1,-0.1,0.01,0.001,0.001,,,,,,,,,,,,,,,,
0,sun,SimSenS,2008-08-23 00:00:00,"{'id': <SensorEventId.SUN: 'sun'>, 'description': 'Sun radiation (n.u.)', 'delay': 2, 'max': 1.0, 'min': 0, 'precision': 0.01, 'noisebias': 0.001, 'noisesigma': 0.001}",SensorEventId.SUN,Sun radiation (n.u.),2,1.0,0,0.01,0.001,0.001,,,,,,,,,,,,,,,,
0,wind_x,SimSenX,2008-08-23 00:00:00,"{'id': <SensorEventId.WFX: 'wind_x'>, 'description': 'East wind flow (m/s)', 'delay': 3, 'max': 0.1, 'min': -0.1, 'precision': 0.01, 'noisebias': 0.001, 'noisesigma': 0.001}",SensorEventId.WFX,East wind flow (m/s),3,0.1,-0.1,0.01,0.001,0.001,,,,,,,,,,,,,,,,
0,wind_x,SimSenY,2008-08-23 00:00:00,"{'id': <SensorEventId.WFX: 'wind_x'>, 'description': 'Nord wind flow (m/s)', 'delay': 3, 'max': 0.1, 'min': -0.1, 'precision': 0.01, 'noisebias': 0.001, 'noisesigma': 0.001}",SensorEventId.WFX,Nord wind flow (m/s),3,0.1,-0.1,0.01,0.001,0.001,,,,,,,,,,,,,,,,
0,sun,SimSenS,2008-08-23 00:00:02,"{'Time': 0, 'Lat': nan, 'Lon': nan, 'Depth': nan, 'sun': 0.0, 'Bt': 0, 'Bij': nan, 'Bl': nan}",,,,,,,,,0,,,,0.0,0,,,,,,,,,,
0,wind_x,SimSenX,2008-08-23 00:00:03,"{'Time': 0, 'Lat': 47.505, 'Lon': -122.215, 'Depth': nan, 'wind_x': 0.0, 'Bt': 0, 'Bij': 9, 'Bl': nan}",,,,,,,,,0,47.505,-122.215,,,0,9,,0.0,,,,,,,
0,wind_x,SimSenY,2008-08-23 00:00:03,"{'Time': 0, 'Lat': 47.505, 'Lon': -122.215, 'Depth': nan, 'wind_y': 0.0, 'Bt': 0, 'Bij': 9, 'Bl': nan}",,,,,,,,,0,47.505,-122.215,,,0,9,,,0.0,,,,,,
0,temperature,SimSenT,2008-08-23 00:00:04,"{'Time': 0, 'Lat': 47.505, 'Lon': -122.215, 'Depth': 0.0, 'temperature': 19.652999877929688, 'Bt': 0, 'Bij': 9, 'Bl': 54}",,,,,,,,,0,47.505,-122.215,0.0,,0,9,54,,,19.652999877929688,,,,,
0,U,SimSenU,2008-08-23 00:00:04,"{'Time': 0, 'Lat': 47.505, 'Lon': -122.215, 'Depth': 0.0, 'U': 0.0, 'Bt': 0, 'Bij': 9, 'Bl': 54}",,,,,,,,,0,47.505,-122.215,0.0,,0,9,54,,,,0.0,,,,
0,W,SimSenV,2008-08-23 00:00:04,"{'Time': 0, 'Lat': 47.505, 'Lon': -122.215, 'Depth': 0.0, 'V': 0.0, 'Bt': 0, 'Bij': 9, 'Bl': 54}",,,,,,,,,0,47.505,-122.215,0.0,,0,9,54,,,,,0.0,,,
0,DOX,SimSenO,2008-08-23 00:00:05,"{'Time': 0, 'Lat': 47.505, 'Lon': -122.215, 'Depth': 0.0, 'DOX': 7.0, 'Bt': 0, 'Bij': 9, 'Bl': 54}",,,,,,,,,0,47.505,-122.215,0.0,,0,9,54,,,,,,7.0,,
0,NOX,SimSenN,2008-08-23 00:00:06,"{'Time': 0, 'Lat': 47.505, 'Lon': -122.215, 'Depth': 0.0, 'NOX': 0.4000000059604645, 'Bt': 0, 'Bij': 9, 'Bl': 54}",,,,,,,,,0,47.505,-122.215,0.0,,0,9,54,,,,,,,0.4000000059604645,
0,ALG,SimSenA,2008-08-23 00:00:07,"{'Time': 0, 'Lat': 47.505, 'Lon': -122.215, 'Depth': 0.0, 'ALG': 2.0, 'Bt': 0, 'Bij': 9, 'Bl': 54}",,,,,,,,,0,47.505,-122.215,0.0,,0,9,54,,,,,,,,2.0
0,sun,SimSenS,2008-08-23 00:30:02,"{'Time': 1800, 'Lat': nan, 'Lon': nan, 'Depth': nan, 'sun': 0.0, 'Bt': 1, 'Bij': nan, 'Bl': nan}",,,,,,,,,1800,,,,0.0,1,,,,,,,,,,
0,wind_x,SimSenX,2008-08-23 00:30:03,"{'Time': 1800, 'Lat': 47.50502083333333, 'Lon': -122.21501388888888, 'Depth': nan, 'wind_x': 3.060868501663208, 'Bt': 1, 'Bij': 9, 'Bl': nan}",,,,,,,,,1800,47.50502083333333,-122.21501388888888,,,1,9,,3.060868501663208,,,,,,,
0,wind_x,SimSenY,2008-08-23 00:30:03,"{'Time': 1800, 'Lat': 47.50502083333333, 'Lon': -122.21501388888888, 'Depth': nan, 'wind_y': -0.9839177131652832, 'Bt': 1, 'Bij': 9, 'Bl': nan}",,,,,,,,,1800,47.50502083333333,-122.21501388888888,,,1,9,,,-0.9839177131652832,,,,,,
0,temperature,SimSenT,2008-08-23 00:30:04,"{'Time': 1800, 'Lat': 47.50502083333333, 'Lon': -122.21501388888888, 'Depth': 0.0, 'temperature': 19.63233184814453, 'Bt': 1, 'Bij': 9, 'Bl': 54}",,,,,,,,,1800,47.50502083333333,-122.21501388888888,0.0,,1,9,54,,,19.63233184814453,,,,,
0,U,SimSenU,2008-08-23 00:30:04,"{'Time': 1800, 'Lat': 47.50502083333333, 'Lon': -122.21501388888888, 'Depth': 0.0, 'U': 0.014036484062671661, 'Bt': 1, 'Bij': 9, 'Bl': 54}",,,,,,,,,1800,47.50502083333333,-122.21501388888888,0.0,,1,9,54,,,,0.014036484062671661,,,,
0,W,SimSenV,2008-08-23 00:30:04,"{'Time': 1800, 'Lat': 47.50502083333333, 'Lon': -122.21501388888888, 'Depth': 0.0, 'V': 0.017800746485590935, 'Bt': 1, 'Bij': 9, 'Bl': 54}",,,,,,,,,1800,47.50502083333333,-122.21501388888888,0.0,,1,9,54,,,,,0.017800746485590935,,,
0,DOX,SimSenO,2008-08-23 00:30:05,"{'Time': 1800, 'Lat': 47.50502083333333, 'Lon': -122.21501388888888, 'Depth': 0.0, 'DOX': 8.699989318847656, 'Bt': 1, 'Bij': 9, 'Bl': 54}",,,,,,,,,1800,47.50502083333333,-122.21501388888888,0.0,,1,9,54,,,,,,8.699989318847656,,
0,NOX,SimSenN,2008-08-23 00:30:06,"{'Time': 1800, 'Lat': 47.50502083333333, 'Lon': -122.21501388888888, 'Depth': 0.0, 'NOX': 0.3317427635192871, 'Bt': 1, 'Bij': 9, 'Bl': 54}",,,,,,,,,1800,47.50502083333333,-122.21501388888888,0.0,,1,9,54,,,,,,,0.3317427635192871,
0,ALG,SimSenA,2008-08-23 00:30:07,"{'Time': 1800, 'Lat': 47.50502083333333, 'Lon': -122.21501388888888, 'Depth': 0.0, 'ALG': 2.493928909301758, 'Bt': 1, 'Bij': 9, 'Bl': 54}",,,,,,,,,1800,47.50502083333333,-122.21501388888888,0.0,,1,9,54,,,,,,,,2.493928909301758
0,sun,SimSenS,2008-08-23 01:00:02,"{'Time': 3600, 'Lat': nan, 'Lon': nan, 'Depth': nan, 'sun': 0.0, 'Bt': 2, 'Bij': nan, 'Bl': nan}",,,,,,,,,3600,,,,0.0,2,,,,,,,,,,
